Formulation,Test1,Test2,Test3,Test4,Test5,Test6,Test7,Test8,Test9,Test10,Test11,Test12,Test13,Test14,Test15,Test16,Test17,Test18,Test19,Test20,Test21,Test22,Test23,Test24,Test25,Test26,Test27,Test28,Test29,Test30,Test31,Test32,Test33,Test34,Test35,Test36,Test37,Test38,Test39,Test40,Test41,Test42,Test43,Test44,Test45,Test46,Test47,Test48,Test49,Test50,Test51,Test52,Test53,Test54,Test55,Test56,Test57,Test58,Test59,Test60,Test61,Test62,Test63,Test64
A,48.15077697,37.28617348,44.18408789,41.325,47.27914778,39,39.57299455,36.55230052,46.21810072,35,52,44.04017975,35,52,39.69044117,51.00324398,40,38.2647573,37.28617348,45.62593974,39.10629812,40.0014098,46.61970521,35,36.43,36.55,36.7,38.41,36.47,35.5,42.51,40.38,39.59,34.76391809,34.88062535,35.02498537,36.64979134,34.80208874,33.87645051,40.56190133,38.53326962,37.77939932,35,44.50786,48.28204,52,38.98491,52,36,36.28415908,35.9264719,38,38,38,38,37.28617348,40,36.7,36.7,36.7,36.692,36.692,37.242,35.367
B,6.489742611,9.935769439,6.097359081,6,7.90770522,12,11.70245151,6.268061842,12,6,9.987969998,6,12,6,12,11.99675602,6,7.129273364,9.935769439,8.436165027,10.41904382,8.495118614,9.058342547,10.51392113,9.33,6.268,6,7.29,6,12,6,6,6,8.903303754,5.981399629,5.726155647,6.955922387,5.72559727,11.45119454,5.725039002,5.72559727,5.72559727,0,0,0,0,8.978443,0,4.68,5.932015108,5.865363253,5,5,5,4.8,9.935769439,6.268061842,6,6,6,6,6,4.5,4.27
C,6.89194729,13.73060825,17.52932487,22,11.35285093,22,7.535825291,16.77434488,15.45401133,5,5,7.44876852,19.35137873,17.025,5,11.00824523,9.916267397,5,13.73060825,11.17902121,14.04334635,22,22,9.468610475,10.66,16.77434488,12.41,18.67,22,22,22,13.47,15.42,10.17247782,16.00719054,11.8435986,17.81441303,20.99385666,20.99385666,20.99180967,12.85396587,14.71478498,16.33333,14.9324,5,7.666667,17.03942,22,12.42,12.27927127,12.14130193,16,18,20,18,10.73060825,17.77434488,12.41,12.41,12.41,14,16,12.6,11.96
D,16.71098381,15.50672017,13.51182372,5,19.46029607,13,22.6961658,18.22565512,6.886351383,24,13,17.51105173,5,5,13.30955883,6.991754768,25.0837326,30,15.50672017,7.076869516,11.43131171,6.484561489,5.436445141,20.44430122,24.34,18.22565512,22.59,16.33,12.74,12.97,13,21.53,19.58,23.22683959,17.39212687,21.55897601,15.58164782,12.15735154,12.37683276,12.40425117,20.54535154,18.68453242,23.66667,17.20109,27.66314,10.33333,9.525584,12,22.59,22.33403688,22.08309265,20,20,20,22,18.50672017,19.22565512,22.59,22.59,22.59,20.81,18.81,22.93,21.78
E,10.06624125,10.54072866,6,12.675,6,6,7.971474635,11.9873172,10.88118804,17,12.01203,17,17,11.975,17,6,6,11.60596934,10.54072866,16.09490151,17,15.01891009,6,16.57316717,6.74,11.9873172,12.31,6.84,10.29,6,6.54,6.32,6.91,6.431754266,11.43909177,11.74816267,6.526544462,9.819399317,5.72559727,6.240292512,6.030962457,6.593979522,15.33333,12.43041,11.05482,17,14.2963,6,12.31,12.17051766,12.03377027,8.5,6.5,4.5,8.2,10.54072866,6.539617728,12.31,12.31,12.31,12.32,12.32,12.6,11.96
F,11.69030807,13,12.67740444,13,8,8,10.52108821,10.19232043,8.560348529,13,8,8,11.64862127,8,13,13,13,8,13,11.587103,8,8,10.8855071,8,12.5,10.19232043,9.98,12.47,12.5,11.53,9.96,12.3,12.5,11.92832765,9.726187005,9.524505559,11.89853939,11.92832765,11.00268942,9.503564743,11.7374744,11.92832765,9.666667,10.92825,8,13,11.17534,8,12,11,11.95,12.5,12.5,12.5,9,13,10.19232043,9.98,9.98,9.98,9.98,9.98,10.128,9.618
P.G,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2.099385666,2.099385666,2.099590404,2.099180967,2.099385666,2.099385666,2.099180967,2.099385666,2.099385666,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
P.S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.143139932,0.143139932,0.143153891,0.143125975,0.143139932,0.143139932,0.143125975,0.143139932,0.143139932,,,,,,,,,,,,,,,,,,,,,,0.142
P.T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,2
P.CB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,,,,,,,,,,,,,,,,,,,,,,0.03
P.ST1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,0.01
P.ST2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,0.1
P.ST3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.190853242,0.190853242,0.190871855,0.190834633,0.190853242,0.190853242,0.190834633,0.190853242,0.190853242,,,,,,,,,,,,,,,,,,,0.2,0.2,0.2,0.189
P.SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.5,,0.5,0.5,0.5,0.5
Material Properties,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Curing procedure,Casting,Casting,Casting,Casting,Casting,Casting,Casting,Casting,Casting,Casting,Casting,Casting,Casting,Casting,Casting,Casting,Casting,Casting,Casting,Casting,Casting,Casting,Casting,Casting,Casting,Casting,Casting,Casting,Casting,Casting,Casting,Casting,Casting,Printing,Printing,Printing,Printing,Printing,Printing,Printing,Printing,Printing,Casted,Casted,Casted,Casted,Casted,Casted,Casted,Casted,Casted,Casted,Casted,Casted,Casted,Casted,Casted,Casted,Casted,Casted,Casted,Casted,Casted,Printed
Post curing Temperature ( C ),100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,110,110,110,110,110,110,110,110,110,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,,,,,,
HDT 0.455 C,122.9,99.2,120.2,67.8,131.7,113.6,119.5,84.2,106.1,70.8,124.6,77.6,47.3,103.6,79.3,134.2,131.2,117.5,101.3,76.6,61.3,59.7,114.8,71.3,122.7,77.3,85.9,113.8,72.8,108.1,110.8,115.7,116.9,,75,88,104,72,,,,109,58.1,91.3,120.9,83.8,,,88.5,93.1,93.1,109.3,119.8,123,115.1,115.3,122.6,94.8,97.8,95.1,91 C,88.3 C,95.2 C,86
Elastic Modulus Gpa,2.2,1.92,2.12,2.17,2.04,2.34,1.84,2.08,2.39,1.74,2.36,2.12,2.34,2.16,2,2.22,1.86,1.81,2.15,2.2,2.25,2.62,2.15,2.01,1.65,2.56,2.03,1.9,2.13,2.31,2.28,1.97,1.78,2.1,2.01,1.7,1.8,1.8,2.3,2.32,2.08,1.9,2.3,2.093333,1.826667,1.87,2.156667,2.17,2.11,2.12,2.05,1.9,1.54,1.82,2.32,1.77,2.36,1.93,1.78,1.78,1.86,2.15,1.99,2
UTS Mpa,56.18,50.63,56.28,48.72,63.89,60.56,56.96,51.11,57.94,42.18,61.46,50.39,42.74,59.06,44.65,61.7,55.09,50.74,51.2,50.26,48.45,49.58,60.01,49.08,54.38,50.62,50.97,54.08,50.06,55.3,57.64,53.65,53.61,54.7,49,46.7,50.8,44,54.5,58.3,56,52,40.01667,49.61,55.42667,46.44,43.97667,60.24167,47.6,49.52,48.64,51.35,48.7,52.74,55.06,51.44,56.64,48.8,49.81,49.53,47.63,48.6,49.86,48
