A,B,C,D,E,F,HDT_0.455©,UTS(Mpa),Modulus(Gpa),EAB%,Viscosity_75C(cp),R value
48.15077697,6.489742611,6.89194729,16.71098381,10.06624125,11.69030807,122.9,56.18,2.2,7.63,25.2,4.212190178
37.28617348,9.935769439,13.73060825,15.50672017,10.54072866,13,99.2,50.63,1.92,12.77,21.2,2.883452758
44.18408789,6.097359081,17.52932487,13.51182372,6,12.67740444,120.2,56.28,2.12,10.54,20.8,3.228501524
41.325,6,22,5,12.675,13,67.8,48.72,2.17,22.42,19.3,1.966387146
47.27914778,7.90770522,11.35285093,19.46029607,6,8,131.7,63.89,2.04,9.47,15.6,4.602753829
39,12,22,13,6,8,113.6,60.56,2.34,6.67,14.5,2.831167437
39.57299455,11.70245151,7.535825291,22.6961658,7.971474635,10.52108821,119.5,56.96,1.84,8.47,19.5,4.802040216
36.55230052,6.268061842,16.77434488,18.22565512,11.9873172,10.19232043,84.2,51.11,2.08,21.13,16.4,2.531205629
46.21810072,12,15.45401133,6.886351383,10.88118804,8.560348529,106.1,57.94,2.39,8.24,18.8,2.73478122
35,6,5,24,17,13,70.8,42.18,1.74,23.78,20.9,2.935807066
52,9.987969998,5,13,12.01203,8,124.6,61.46,2.36,8.81,18.6,4.174209807
44.04017975,6,7.44876852,17.51105173,17,8,77.6,50.39,2.12,10.65,15.1,2.799570273
35,12,19.35137873,5,17,11.64862127,47.3,42.74,2.34,46.06,19,1.748025176
52,6,17.025,5,11.975,8,103.6,59.06,2.16,8.16,15.8,2.508707181
39.69044117,12,5,13.30955883,17,13,79.3,44.65,2,17.03,25.1,2.796958174
51.00324398,11.99675602,11.00824523,6.991754768,6,13,134.2,61.7,2.22,8.9,28.1,4.252712184
40,6,9.916267397,25.0837326,6,13,131.2,55.09,1.86,9.68,21.2,4.804219639
38.2647573,7.129273364,5,30,11.60596934,8,117.5,50.74,1.81,7.47,13.9,4.501307649
37.28617348,9.935769439,13.73060825,15.50672017,10.54072866,13,101.3,51.2,2.15,14.09,20.5,2.883452758
45.62593974,8.436165027,11.17902121,7.076869516,16.09490151,11.587103,76.6,50.26,2.2,6.93,21.3,2.365157072
39.10629812,10.41904382,14.04334635,11.43131171,17,8,61.3,48.45,2.25,13.78,15.3,2.174752181
40.0014098,8.495118614,22,6.484561489,15.01891009,8,59.7,49.58,2.62,6.23,14.2,1.893239625
46.61970521,9.058342547,22,5.436445141,6,10.8855071,114.8,60.01,2.15,10.94,18.6,2.718068229
35,10.51392113,9.468610475,20.44430122,16.57316717,8,71.3,49.08,2.01,8.81,14.3,2.635366194
