TEST,A,B,C,D,E,F,Curing procedure,Post curing Temperature ( C ),HDT 0.455 C,Elastic Modulus Gpa,UTS Mpa,Strain @ Break,Impact Strength ,Viscosity 75 C cp Day1 ,Photocure Enthalpy (J/g),Photocure Rate (J/g*m),R value
1,48.15077697,6.489742611,6.89194729,16.71098381,10.06624125,11.69030807,Casting,100,122.9,2.2,56.18,7.63,3.12,25.2,265.4,247,3.12
2,37.28617348,9.935769439,13.73060825,15.50672017,10.54072866,13,Casting,100,99.2,1.92,50.63,12.77,4.005,21.2,307.2,201,4.005
3,44.18408789,6.097359081,17.52932487,13.51182372,6,12.67740444,Casting,100,120.2,2.12,56.28,10.54,2.095,20.8,323.9,308,2.095
4,41.325,6,22,5,12.675,13,Casting,100,67.8,2.17,48.72,22.42,5.065,19.3,342.1,142,5.065
5,47.27914778,7.90770522,11.35285093,19.46029607,6,8,Casting,100,131.7,2.04,63.89,9.47,2.215,15.6,312.8,392,2.215
6,39,12,22,13,6,8,Casting,100,113.6,2.34,60.56,6.67,2.835,14.5,348.6,469,2.835
7,39.57299455,11.70245151,7.535825291,22.6961658,7.971474635,10.52108821,Casting,100,119.5,1.84,56.96,8.47,2.45,19.5,292.8,362,2.45
8,36.55230052,6.268061842,16.77434488,18.22565512,11.9873172,10.19232043,Casting,100,84.2,2.08,51.11,21.13,3.525,16.4,364.1,270,3.525
9,46.21810072,12,15.45401133,6.886351383,10.88118804,8.560348529,Casting,100,106.1,2.39,57.94,8.24,3.065,18.8,322.4,529,3.065
10,35,6,5,24,17,13,Casting,100,70.8,1.74,42.18,23.78,4.28,20.9,288.5,76,4.28
11,52,9.987969998,5,13,12.01203,8,Casting,100,124.6,2.36,61.46,8.81,2.32,18.6,270,218,2.32
12,44.04017975,6,7.44876852,17.51105173,17,8,Casting,100,77.6,2.12,50.39,10.65,2.71,15.1,315.7,114,2.71
13,35,12,19.35137873,5,17,11.64862127,Casting,100,47.3,2.34,42.74,46.06,5.34,19,319.8,153,5.34
