,A,B,C,D,E,F,HDT_0.455©,UTS(Mpa),Modulus(Gpa),EAB%,Viscosity_75C(cp),R value,log_HDT,log_viscosity
0,48.15077697,6.489742611,6.89194729,16.71098381,10.06624125,11.69030807,122.9,56.18,2.2,7.63,25.2,4.212190178,4.811371016571989,3.2268439945173775
1,37.28617348,9.935769439,13.73060825,15.50672017,10.54072866,13.0,99.2,50.63,1.92,12.77,21.2,2.883452758,4.597138014290827,3.054001181677967
2,44.18408789,6.097359081,17.52932487,13.51182372,6.0,12.67740444,120.2,56.28,2.12,10.54,20.8,3.228501524,4.789157022101107,3.0349529867072724
3,41.325,6.0,22.0,5.0,12.675,13.0,67.8,48.72,2.17,22.42,19.3,1.966387146,4.216562194946349,2.9601050959108397
4,47.27914778,7.90770522,11.35285093,19.46029607,6.0,8.0,131.7,63.89,2.04,9.47,15.6,4.602753829,4.880526608749236,2.747270914255491
5,39.0,12.0,22.0,13.0,6.0,8.0,113.6,60.56,2.34,6.67,14.5,2.831167437,4.732683506287051,2.6741486494265287
6,39.57299455,11.70245151,7.535825291,22.6961658,7.971474635,10.52108821,119.5,56.96,1.84,8.47,19.5,4.802040216,4.783316371371566,2.970414465569701
7,36.55230052,6.268061842,16.77434488,18.22565512,11.9873172,10.19232043,84.2,51.11,2.08,21.13,16.4,2.531205629,4.4331949212482815,2.797281334830153
8,46.21810072,12.0,15.45401133,6.886351383,10.88118804,8.560348529,106.1,57.94,2.39,8.24,18.8,2.73478122,4.664382045619937,2.9338568698359038
9,35.0,6.0,5.0,24.0,17.0,13.0,70.8,42.18,1.74,23.78,20.9,2.935807066,4.259859000699674,3.039749158970765
10,52.0,9.987969998,5.0,13.0,12.01203,8.0,124.6,61.46,2.36,8.81,18.6,4.174209807,4.825108606353353,2.9231615807191558
11,44.04017975,6.0,7.44876852,17.51105173,17.0,8.0,77.6,50.39,2.12,10.65,15.1,2.799570273,4.351567427189173,2.714694743820879
13,52.0,6.0,17.025,5.0,11.975,8.0,103.6,59.06,2.16,8.16,15.8,2.508707181,4.640537329825382,2.760009940032921
14,39.69044117,12.0,5.0,13.30955883,17.0,13.0,79.3,44.65,2.0,17.03,25.1,2.796958174,4.373238128640803,3.2228678461377385
15,51.00324398,11.99675602,11.00824523,6.991754768,6.0,13.0,134.2,61.7,2.22,8.9,28.1,4.252712184,4.8993312245375815,3.3357695763397
16,40.0,6.0,9.916267397,25.0837326,6.0,13.0,131.2,55.09,1.86,9.68,21.2,4.804219639,4.876722876509988,3.054001181677967
17,38.2647573,7.129273364,5.0,30.0,11.60596934,8.0,117.5,50.74,1.81,7.47,13.9,4.501307649,4.7664383335842135,2.631888840136646
18,37.28617348,9.935769439,13.73060825,15.50672017,10.54072866,13.0,101.3,51.2,2.15,14.09,20.5,2.883452758,4.618086411254637,3.0204248861443626
19,45.62593974,8.436165027,11.17902121,7.076869516,16.09490151,11.587103,76.6,50.26,2.2,6.93,21.3,2.365157072,4.338597076746545,3.0587070727153796
