Results Table 1
,Force at Break (Standard),Displacement at Break (Standard),Kq Value,Gi
,(N),(mm),,(J)
"1","69.36","0.42","-----","-----"

Results Table 2


Time,Displacement,Force
(s),(mm),(kN)
"0.0000","0.0081","0.0000"
"0.0200","0.0081","0.0000"
"0.0400","0.0086","0.0000"
"0.0600","0.0103","0.0002"
"0.0800","0.0132","0.0006"
"0.1000","0.0167","0.0010"
"0.1200","0.0202","0.0014"
"0.1400","0.0236","0.0018"
"0.1600","0.0269","0.0021"
"0.1800","0.0302","0.0025"
"0.2000","0.0335","0.0027"
"0.2200","0.0369","0.0031"
"0.2400","0.0401","0.0035"
"0.2600","0.0434","0.0039"
"0.2800","0.0467","0.0043"
"0.3000","0.0500","0.0046"
"0.3200","0.0533","0.0050"
"0.3400","0.0567","0.0054"
"0.3600","0.0600","0.0058"
"0.3800","0.0633","0.0062"
"0.4000","0.0666","0.0067"
"0.4200","0.0699","0.0072"
"0.4400","0.0732","0.0076"
"0.4600","0.0766","0.0081"
"0.4800","0.0799","0.0086"
"0.5000","0.0833","0.0090"
"0.5200","0.0867","0.0094"
"0.5400","0.0900","0.0099"
"0.5600","0.0933","0.0105"
"0.5800","0.0966","0.0110"
"0.6000","0.0999","0.0115"
"0.6200","0.1032","0.0119"
"0.6400","0.1065","0.0124"
"0.6600","0.1099","0.0130"
"0.6800","0.1132","0.0135"
"0.7000","0.1166","0.0141"
"0.7200","0.1199","0.0147"
"0.7400","0.1233","0.0151"
"0.7600","0.1266","0.0156"
"0.7800","0.1298","0.0162"
"0.8000","0.1332","0.0168"
"0.8200","0.1365","0.0174"
"0.8400","0.1398","0.0179"
"0.8600","0.1432","0.0185"
"0.8800","0.1466","0.0190"
"0.9000","0.1499","0.0195"
"0.9200","0.1533","0.0202"
"0.9400","0.1566","0.0208"
"0.9600","0.1599","0.0213"
"0.9800","0.1632","0.0218"
"1.0000","0.1665","0.0225"
"1.0200","0.1698","0.0231"
"1.0400","0.1732","0.0237"
"1.0600","0.1765","0.0243"
"1.0800","0.1799","0.0249"
"1.1000","0.1832","0.0255"
"1.1200","0.1865","0.0261"
"1.1400","0.1898","0.0267"
"1.1600","0.1932","0.0272"
"1.1800","0.1965","0.0279"
"1.2000","0.1999","0.0285"
"1.2200","0.2032","0.0290"
"1.2400","0.2066","0.0296"
"1.2600","0.2100","0.0303"
"1.2800","0.2133","0.0309"
"1.3000","0.2166","0.0316"
"1.3200","0.2199","0.0321"
"1.3400","0.2232","0.0327"
"1.3600","0.2266","0.0334"
"1.3800","0.2299","0.0341"
"1.4000","0.2332","0.0346"
"1.4200","0.2366","0.0353"
"1.4400","0.2399","0.0359"
"1.4600","0.2433","0.0365"
"1.4800","0.2466","0.0370"
"1.5000","0.2499","0.0376"
"1.5200","0.2532","0.0382"
"1.5400","0.2565","0.0387"
"1.5600","0.2599","0.0394"
"1.5800","0.2633","0.0401"
"1.6000","0.2666","0.0407"
"1.6200","0.2699","0.0413"
"1.6400","0.2732","0.0419"
"1.6600","0.2766","0.0425"
"1.6800","0.2799","0.0433"
"1.7000","0.2832","0.0439"
"1.7200","0.2866","0.0445"
"1.7400","0.2898","0.0450"
"1.7600","0.2932","0.0456"
"1.7800","0.2965","0.0463"
"1.8000","0.2999","0.0469"
"1.8200","0.3032","0.0475"
"1.8400","0.3066","0.0482"
"1.8600","0.3099","0.0488"
"1.8800","0.3132","0.0494"
"1.9000","0.3165","0.0500"
"1.9200","0.3199","0.0506"
"1.9400","0.3232","0.0512"
"1.9600","0.3266","0.0519"
"1.9800","0.3299","0.0525"
"2.0000","0.3333","0.0532"
"2.0200","0.3366","0.0538"
"2.0400","0.3399","0.0545"
"2.0600","0.3432","0.0551"
"2.0800","0.3465","0.0557"
"2.1000","0.3498","0.0563"
"2.1200","0.3532","0.0569"
"2.1400","0.3566","0.0576"
"2.1600","0.3599","0.0582"
"2.1800","0.3633","0.0588"
"2.2000","0.3666","0.0594"
"2.2200","0.3699","0.0600"
"2.2400","0.3732","0.0607"
"2.2600","0.3765","0.0613"
"2.2800","0.3799","0.0619"
"2.3000","0.3832","0.0625"
"2.3200","0.3866","0.0631"
"2.3400","0.3900","0.0638"
"2.3600","0.3933","0.0644"
"2.3800","0.3966","0.0649"
"2.4000","0.3999","0.0655"
"2.4200","0.4032","0.0662"
"2.4400","0.4066","0.0668"
"2.4600","0.4098","0.0674"
"2.4800","0.4132","0.0679"
"2.5000","0.4166","0.0684"
"2.5200","0.4199","0.0690"
"2.5400","0.4233","0.0694"
"2.5600","0.4266","0.0393"
"2.5760","0.4292","0.0127"

